Time: 2020-07-12 21:46:41.313612, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:46:51.317456, Messages: 2, Members Joined: 0 
Time: 2020-07-12 21:47:01.318601, Messages: 2, Members Joined: 0 
Time: 2020-07-12 21:47:11.321661, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:54:41.416451, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:54:51.420980, Messages: 1, Members Joined: 0 
Time: 2020-07-12 21:55:01.422768, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:55:11.426592, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:58:30.158551, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:58:40.162046, Messages: 1, Members Joined: 0 
Time: 2020-07-12 21:58:50.167802, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:59:00.171081, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:59:10.176885, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:59:20.182716, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:59:30.183773, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:59:40.187568, Messages: 0, Members Joined: 0 
Time: 2020-07-12 21:59:50.188266, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:00:00.586754, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:00:10.588030, Messages: 1, Members Joined: 0 
Time: 2020-07-12 22:00:20.593714, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:00:30.598633, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:00:40.604113, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:00:50.607093, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:01:00.612859, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:01:10.618450, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:01:20.624324, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:01:30.627633, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:01:40.633443, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:01:50.634275, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:02:00.635152, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:02:10.636254, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:02:20.639371, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:02:30.643895, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:02:40.644743, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:02:50.648640, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:03:00.650919, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:03:10.652623, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:03:20.653496, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:03:30.657638, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:03:40.660118, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:03:50.665781, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:04:00.666861, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:04:10.668488, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:04:20.669653, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:04:30.672303, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:04:40.672975, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:04:50.675649, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:05:00.676227, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:05:10.677183, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:05:20.680456, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:05:30.681094, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:05:40.686774, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:05:50.692561, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:06:00.695916, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:06:10.697636, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:06:20.703141, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:06:30.708632, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:06:40.714335, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:06:50.716980, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:07:00.720555, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:07:10.726237, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:07:20.729407, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:07:30.733847, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:07:40.740533, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:07:50.741461, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:08:00.742818, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:08:10.746614, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:08:20.749134, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:08:30.754838, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:08:40.755771, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:08:50.761564, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:09:00.765932, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:09:10.767468, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:09:20.772843, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:09:30.775957, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:09:40.776708, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:09:50.782452, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:10:00.786137, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:10:10.789401, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:10:20.793985, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:10:30.796284, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:10:40.799451, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:10:50.804674, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:11:00.806531, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:11:10.807343, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:11:20.813168, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:11:30.813932, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:11:40.819220, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:11:50.824646, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:12:00.827312, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:12:10.829972, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:12:20.830995, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:12:30.832288, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:12:40.833358, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:12:50.837187, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:13:00.840082, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:13:10.840712, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:13:20.845129, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:13:30.850562, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:13:40.854198, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:13:50.856288, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:14:00.862084, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:14:10.865834, Messages: 0, Members Joined: 0 
Time: 2020-07-12 22:14:20.871551, Messages: 0, Members Joined: 0 
